symbol,year_id,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cash_conversion_ratio
TCS,7,11615.0,-6038.0,-5729.0,-152.0,5577.0,0.8251633986928104
TCS,11,14751.0,-9452.0,-5673.0,-374.0,5299.0,0.7630353817504656
TCS,15,19369.0,-1807.0,-17168.0,394.0,17562.0,0.9655533399800598
TCS,18,19109.0,-5010.0,-9666.0,4433.0,14099.0,0.785150792998603
TCS,21,25223.0,-16895.0,-11026.0,-2698.0,8328.0,0.9569753765603065
TCS,24,25067.0,3104.0,-26885.0,1286.0,28171.0,0.9685857805255024
TCS,27,28593.0,1645.0,-27897.0,2341.0,30238.0,0.9059311830682466
TCS,30,32369.0,8968.0,-39915.0,1422.0,41337.0,0.9975960797608407
TCS,33,38802.0,-7956.0,-32634.0,-1788.0,30846.0,1.191634420490142
TCS,36,39949.0,-738.0,-33581.0,5630.0,39211.0,1.0390127181461157
TCS,39,41965.0,548.0,-47878.0,-5365.0,42513.0,0.9920100229298159
TCS,42,44338.0,6091.0,-48536.0,1893.0,50429.0,0.9617996051975097
ABB,3,101.0,-59.0,-42.0,1.0,42.0,0.696551724137931
ABB,11,155.0,-144.0,-42.0,-31.0,11.0,0.7828282828282829
ABB,15,215.0,-187.0,-58.0,-30.0,28.0,0.9388646288209607
ABB,18,249.0,-77.0,-80.0,91.0,172.0,0.9764705882352941
ABB,21,307.0,-155.0,-90.0,62.0,152.0,1.108303249097473
ABB,24,153.0,-215.0,-102.0,-165.0,-62.0,0.38154613466334164
ABB,27,499.0,-257.0,-143.0,99.0,242.0,1.1088888888888888
ABB,30,626.0,-401.0,-217.0,8.0,225.0,1.0556492411467115
ABB,33,727.0,-72.0,-582.0,73.0,655.0,1.0520984081041969
ABB,36,948.0,-396.0,-637.0,-86.0,552.0,1.1864831038798498
ABB,39,893.0,-148.0,-639.0,107.0,745.0,0.9409905163329821
ABB,42,1213.0,-416.0,-745.0,52.0,797.0,1.009991673605329
ADANIENSOL,11,0.0,0.0,0.0,0.0,0.0,
ADANIENSOL,15,-35.0,-1864.0,1902.0,3.0,-1899.0,5.0
ADANIENSOL,18,1544.0,-816.0,-722.0,6.0,728.0,4.195652173913044
ADANIENSOL,21,2189.0,-1730.0,-455.0,4.0,459.0,5.262019230769231
ADANIENSOL,24,2198.0,-3192.0,1589.0,596.0,-994.0,1.9230096237970253
ADANIENSOL,27,2591.0,-3050.0,38.0,-421.0,-459.0,4.635062611806798
ADANIENSOL,30,5437.0,-5643.0,1250.0,1045.0,-206.0,7.701133144475921
ADANIENSOL,33,3784.0,-4009.0,-745.0,-969.0,-225.0,2.933333333333333
ADANIENSOL,36,4097.0,-3936.0,-235.0,-75.0,161.0,3.3147249190938513
ADANIENSOL,39,3777.0,-4699.0,923.0,2.0,-922.0,2.9484777517564402
ADANIENSOL,42,6038.0,-4943.0,-543.0,551.0,1095.0,5.048494983277592
