symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
TCS,2026-04-29T13:10:33+00:00,72.3213,80.0742,60.0,66.6667,79.8469,50.0,93.3333,GOOD
INFY,2026-04-29T13:10:33+00:00,71.0511,76.9255,66.6667,66.3265,76.0204,50.0,83.3333,GOOD
ITC,2026-04-29T13:10:33+00:00,70.8085,89.6149,56.6667,91.1565,61.9898,50.0,60.0,GOOD
SUNPHARMA,2026-04-29T13:10:33+00:00,68.96,80.7923,56.6667,77.551,73.9796,50.0,60.0,AVERAGE
HINDUNILVR,2026-04-29T13:10:33+00:00,68.0745,83.3728,56.6667,78.2313,65.8163,50.0,60.0,AVERAGE
BAJAJHLDNG,2026-04-29T13:10:33+00:00,67.1114,95.4388,56.6667,94.5578,33.6735,50.0,60.0,AVERAGE
INDIGO,2026-04-29T13:10:33+00:00,66.5283,71.6777,56.6667,86.7347,66.3265,50.0,60.0,AVERAGE
DIVISLAB,2026-04-29T13:10:33+00:00,65.9772,86.6162,56.6667,96.5986,37.5,50.0,60.0,AVERAGE
MARUTI,2026-04-29T13:10:33+00:00,65.9127,63.297,56.6667,91.8367,69.898,50.0,60.0,AVERAGE
HCLTECH,2026-04-29T13:10:33+00:00,65.4098,70.2652,56.6667,70.7483,74.4898,50.0,60.0,AVERAGE
HEROMOTOCO,2026-04-29T13:10:33+00:00,65.0231,76.0653,56.6667,78.2313,59.6939,50.0,60.0,AVERAGE
CIPLA,2026-04-29T13:10:33+00:00,64.3159,82.8283,56.6667,86.7347,41.3265,50.0,60.0,AVERAGE
SIEMENS,2026-04-29T13:10:33+00:00,63.9032,63.2181,56.6667,78.9116,44.6429,100.0,60.0,AVERAGE
EICHERMOT,2026-04-29T13:10:33+00:00,63.7344,82.339,56.6667,85.034,40.3061,50.0,60.0,AVERAGE
JIOFIN,2026-04-29T13:10:33+00:00,62.9393,82.8322,56.6667,98.6395,25.5102,50.0,60.0,AVERAGE
COALINDIA,2026-04-29T13:10:33+00:00,62.9095,84.7538,56.6667,61.5646,50.7653,50.0,60.0,AVERAGE
IRCTC,2026-04-29T13:10:33+00:00,62.8815,87.2948,56.6667,76.8707,35.9694,50.0,60.0,AVERAGE
PIDILITIND,2026-04-29T13:10:33+00:00,62.3426,73.0982,56.6667,76.1905,51.5306,50.0,60.0,AVERAGE
BAJAJ-AUTO,2026-04-29T13:10:33+00:00,62.3007,69.6654,56.6667,75.5102,56.1224,50.0,60.0,AVERAGE
ABB,2026-04-29T13:10:33+00:00,62.2552,81.1158,56.6667,82.9932,35.9694,50.0,60.0,AVERAGE
ADANIPORTS,2026-04-29T13:10:33+00:00,62.1481,78.851,56.6667,36.3946,73.2143,50.0,60.0,AVERAGE
NAUKRI,2026-04-29T13:10:33+00:00,61.9548,78.0777,56.6667,91.1565,32.1429,50.0,60.0,AVERAGE
HINDALCO,2026-04-29T13:10:33+00:00,61.6115,76.7045,56.6667,46.2585,65.8163,50.0,60.0,AVERAGE
ZYDUSLIFE,2026-04-29T13:10:33+00:00,61.5868,80.2794,56.6667,76.5306,38.5204,50.0,60.0,AVERAGE
RELIANCE,2026-04-29T13:10:33+00:00,61.2832,52.7383,56.6667,44.898,95.1531,50.0,60.0,AVERAGE
DLF,2026-04-29T13:10:33+00:00,60.638,73.6269,56.6667,64.6259,51.0204,50.0,60.0,AVERAGE
POWERGRID,2026-04-29T13:10:33+00:00,60.5164,78.0382,56.6667,29.5918,71.1735,50.0,60.0,AVERAGE
