symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets
ABB,3,1653,1451,202.0,12.0,33,0,19,215,215,145,68.0,25.0,8.771929824561402,87.77979431336964,,1.822491730981257,15.986769570011026
ABB,11,2276,2009,267.0,12.0,49,0,22,295,295,198,93.0,25.0,8.699472759226714,88.2688927943761,,1.9982440737489024,17.383669885864794
ABB,15,2289,1977,312.0,14.0,48,0,15,344,344,229,108.0,29.0,10.004368719965049,86.36959370904324,,1.665938864628821,16.666666666666664
ABB,18,2614,2250,365.0,14.0,50,3,14,398,398,255,120.0,29.0,9.755164498852334,86.07498087222648,121.66666666666667,1.6175742574257426,15.77970297029703
ABB,21,2903,2505,398.0,14.0,57,2,16,436,436,277,130.0,31.0,9.541853255253187,86.29004478126076,199.0,1.40513068731849,13.407550822846078
ABB,24,3298,2774,525.0,16.0,117,4,16,621,621,401,189.0,29.0,12.15888417222559,84.11158277744087,131.25,1.365066225165563,16.5976821192053
ABB,27,3679,3074,605.0,16.0,113,2,17,699,699,450,212.0,31.0,12.231584669747214,83.55531394400653,302.5,1.2509350561033663,15.300918055083304
ABB,30,4093,3336,757.0,18.0,114,9,60,803,803,593,279.0,90.0,14.488150500855118,81.50500855118496,84.11111111111111,1.153932901043135,16.718353538201296
ABB,33,4310,3388,922.0,21.0,81,18,58,926,926,691,325.0,85.0,16.03248259860789,78.60788863109049,51.22222222222222,1.1223958333333333,17.994791666666668
ABB,36,4913,3832,1082.0,22.0,83,19,66,1080,1080,799,376.0,73.0,16.26297577854671,77.99715041726033,56.94736842105263,1.1631155303030303,18.915719696969695
ABB,39,5349,4143,1206.0,23.0,154,16,70,1274,1274,949,447.0,73.0,17.74163395027108,77.45372966909703,75.375,1.1740561896400352,20.82967515364355
ABB,42,5849,4396,1453.0,25.0,248,12,71,1618,1618,1201,565.0,73.0,20.533424517011454,75.15814669174217,121.08333333333333,1.1263238975544,23.127286732139417
