id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,symbol,year_label
37,TCS,Mar 2013,11615.0,-6038.0,-5729.0,-152.0,5577.0,TCS,Mar 2013
38,TCS,Mar 2014,14751.0,-9452.0,-5673.0,-374.0,5299.0,TCS,Mar 2014
39,TCS,Mar 2015,19369.0,-1807.0,-17168.0,394.0,17562.0,TCS,Mar 2015
40,TCS,Mar 2016,19109.0,-5010.0,-9666.0,4433.0,14099.0,TCS,Mar 2016
41,TCS,Mar 2017,25223.0,-16895.0,-11026.0,-2698.0,8328.0,TCS,Mar 2017
42,TCS,Mar 2018,25067.0,3104.0,-26885.0,1286.0,28171.0,TCS,Mar 2018
43,TCS,Mar 2019,28593.0,1645.0,-27897.0,2341.0,30238.0,TCS,Mar 2019
44,TCS,Mar 2020,32369.0,8968.0,-39915.0,1422.0,41337.0,TCS,Mar 2020
45,TCS,Mar 2021,38802.0,-7956.0,-32634.0,-1788.0,30846.0,TCS,Mar 2021
46,TCS,Mar 2022,39949.0,-738.0,-33581.0,5630.0,39211.0,TCS,Mar 2022
47,TCS,Mar 2023,41965.0,548.0,-47878.0,-5365.0,42513.0,TCS,Mar 2023
48,TCS,Mar 2024,44338.0,6091.0,-48536.0,1893.0,50429.0,TCS,Mar 2024
61,ABB,Dec 2012,101.0,-59.0,-42.0,1.0,42.0,ABB,Dec 2012
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0,11.0,ABB,Mar 2014
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0,28.0,ABB,Mar 2015
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0,172.0,ABB,Mar 2016
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0,152.0,ABB,Mar 2017
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0,-62.0,ABB,Mar 2018
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0,242.0,ABB,Mar 2019
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0,225.0,ABB,Mar 2020
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0,655.0,ABB,Mar 2021
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0,552.0,ABB,Mar 2022
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0,745.0,ABB,Mar 2023
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0,797.0,ABB,Mar 2024
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,0.0,ABB,Mar 2014
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,-1899.0,ABB,Mar 2015
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0,728.0,ABB,Mar 2016
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0,459.0,ABB,Mar 2017
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0,-994.0,ABB,Mar 2018
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0,-459.0,ABB,Mar 2019
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0,-206.0,ABB,Mar 2020
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0,-225.0,ABB,Mar 2021
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0,161.0,ABB,Mar 2022
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0,-922.0,ABB,Mar 2023
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0,1095.0,ABB,Mar 2024
84,ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0,0.0,ADANIENSOL,Mar 2014
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0,-1899.0,ADANIENSOL,Mar 2015
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0,728.0,ADANIENSOL,Mar 2016
87,ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,4.0,459.0,ADANIENSOL,Mar 2017
88,ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,596.0,-994.0,ADANIENSOL,Mar 2018
89,ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,-421.0,-459.0,ADANIENSOL,Mar 2019
90,ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,1045.0,-206.0,ADANIENSOL,Mar 2020
91,ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,-969.0,-225.0,ADANIENSOL,Mar 2021
92,ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,-75.0,161.0,ADANIENSOL,Mar 2022
93,ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,2.0,-922.0,ADANIENSOL,Mar 2023
94,ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,551.0,1095.0,ADANIENSOL,Mar 2024
