company_id,metric,period,value_pct
HDFCBANK,compounded_sales_growth,10Y,21.0
HDFCBANK,compounded_profit_growth,10Y,22.0
HDFCBANK,stock_price_cagr,10Y,15.0
HDFCBANK,roe,10Y,17.0
SBILIFE,compounded_sales_growth,5Y,24.0
SBILIFE,compounded_profit_growth,5Y,6.0
SBILIFE,stock_price_cagr,5Y,8.0
SBILIFE,roe,5Y,14.0
SBILIFE,compounded_sales_growth,3Y,17.0
SBILIFE,compounded_profit_growth,3Y,9.0
SBILIFE,stock_price_cagr,3Y,7.0
SBILIFE,roe,3Y,13.0
SBILIFE,compounded_sales_growth,TTM,43.0
SBILIFE,compounded_profit_growth,TTM,18.0
SBILIFE,stock_price_cagr,1Y,-2.0
SBILIFE,roe,,12.0
TCS,compounded_sales_growth,10Y,11.0
TCS,compounded_profit_growth,10Y,9.0
TCS,stock_price_cagr,10Y,14.0
TCS,roe,10Y,40.0
TCS,compounded_sales_growth,5Y,10.0
TCS,compounded_profit_growth,5Y,8.0
TCS,stock_price_cagr,5Y,16.0
TCS,roe,5Y,44.0
TCS,compounded_sales_growth,3Y,14.0
TCS,compounded_profit_growth,3Y,12.0
TCS,stock_price_cagr,3Y,8.0
TCS,roe,3Y,47.0
TCS,compounded_sales_growth,TTM,5.0
TCS,compounded_profit_growth,TTM,8.0
TCS,stock_price_cagr,1Y,16.0
TCS,roe,,52.0
WIPRO,compounded_sales_growth,10Y,8.0
WIPRO,compounded_profit_growth,10Y,3.0
WIPRO,stock_price_cagr,10Y,12.0
WIPRO,roe,10Y,18.0
WIPRO,compounded_sales_growth,5Y,9.0
WIPRO,compounded_profit_growth,5Y,4.0
WIPRO,stock_price_cagr,5Y,20.0
WIPRO,roe,5Y,17.0
WIPRO,compounded_sales_growth,3Y,13.0
WIPRO,compounded_profit_growth,3Y,0.0
WIPRO,stock_price_cagr,3Y,-1.0
WIPRO,roe,3Y,17.0
HDFCBANK,compounded_sales_growth,5Y,22.0
HDFCBANK,compounded_profit_growth,5Y,23.0
HDFCBANK,stock_price_cagr,5Y,8.0
HDFCBANK,roe,5Y,17.0
WIPRO,compounded_sales_growth,TTM,-3.0
WIPRO,compounded_profit_growth,TTM,1.0
WIPRO,stock_price_cagr,1Y,39.0
WIPRO,roe,,14.0
HDFCBANK,compounded_sales_growth,3Y,30.0
HDFCBANK,compounded_profit_growth,3Y,26.0
HDFCBANK,stock_price_cagr,3Y,8.0
HDFCBANK,roe,3Y,17.0
HDFCBANK,compounded_sales_growth,TTM,47.0
HDFCBANK,compounded_profit_growth,TTM,27.0
HDFCBANK,stock_price_cagr,1Y,13.0
HDFCBANK,roe,,17.0
INFY,compounded_sales_growth,10Y,12.0
INFY,compounded_profit_growth,10Y,9.0
INFY,stock_price_cagr,10Y,15.0
INFY,roe,10Y,27.0
INFY,compounded_sales_growth,5Y,13.0
INFY,compounded_profit_growth,5Y,11.0
INFY,stock_price_cagr,5Y,22.0
INFY,roe,5Y,29.0
INFY,compounded_sales_growth,3Y,5.0
INFY,compounded_profit_growth,3Y,10.0
INFY,stock_price_cagr,3Y,4.0
INFY,roe,3Y,31.0
INFY,compounded_sales_growth,TTM,3.0
INFY,compounded_profit_growth,TTM,8.0
INFY,stock_price_cagr,1Y,27.0
INFY,roe,,32.0
SBILIFE,compounded_sales_growth,10Y,23.0
SBILIFE,compounded_profit_growth,10Y,9.0
SBILIFE,stock_price_cagr,10Y,9.0
SBILIFE,roe,10Y,16.0
